OBJECTID *,Shape *,ARCID,UP_CELLS,Shape_Length,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
887,Polyline,654144,1748,1842.650308,1842.650308,-127286.6948,3373561.075,-126724.0048,3372831.541,-126161.3148,3372102.007
888,Polyline,654145,832,5522.347082,5522.347082,152534.9196,3364267.839,151760.9807,3362092.412,150783.5606,3359697.329
889,Polyline,654146,159,7481.012946,7481.012946,155147.4091,3364416.057,153409.8438,3361644.029,150783.5606,3359697.329
890,Polyline,654147,1458,19263.81606,19263.81606,163699.7399,3375019.389,159836.9967,3366849,154392.2736,3359582.316
891,Polyline,654148,9519,3060.547253,3060.547253,161681.2335,3361666.654,160642.9818,3360542.478,159604.7301,3359418.303
892,Polyline,654207,553,5378.90215,5378.90215,-141214.0459,3376698.156,-142796.2677,3374642.794,-144675.5846,3372718.914
893,Polyline,654208,26120,2449.715755,2449.715755,105116.8243,3362644.978,105885.5067,3361691.351,106654.189,3360737.724
894,Polyline,654209,1542,4388.537931,4388.537931,105969.0748,3364002.849,107118.1623,3362466.92,106654.189,3360737.724
895,Polyline,654285,470,12943.47086,12943.47086,-191155.6243,3374876.184,-188096.3603,3380149.609,-189056.0318,3385679.092
896,Polyline,654286,298,7560.474438,7560.474438,-182710.459,3374342.631,-180949.135,3377434.654,-180077.8232,3380924.098
897,Polyline,654287,114,2088.699369,2088.699369,-153158.489,3372527.613,-153095.872,3373570.084,-153033.2549,3374612.555
898,Polyline,654288,446,8123.579132,8123.579132,115256.6769,3365522.093,112819.9969,3363350.684,110648.5843,3360131.422
899,Polyline,654289,106,918.400122,918.400122,138946.825,3359851.622,138634.5681,3359514.931,138322.3112,3359178.241
900,Polyline,654290,10508,3631.512151,3631.512151,157570.9273,3358556.763,155756.0721,3358613.954,154392.2736,3359582.316
901,Polyline,654291,10225,2427.788341,2427.788341,159604.7301,3359418.303,158523.4948,3359141.07,157570.9273,3358556.763
902,Polyline,654292,424,1547.960293,1547.960293,196902.7664,3358791.49,196484.5378,3358178.613,196463.0036,3357404.933
903,Polyline,654293,243,2094.467308,2094.467308,198398.0147,3357721.672,197509.8341,3357375.876,196463.0036,3357404.933
904,Polyline,654348,1483,4741.071416,4741.071416,-104788.3055,3372286.18,-103181.2406,3370707.95,-101728.3255,3369329.424
905,Polyline,654349,10390,2556.440863,2556.440863,-61460.1088,3369034.612,-60519.2291,3368323.473,-60350.6799,3367120.915
906,Polyline,654350,2816,7145.810947,7145.810947,-10828.4784,3367467.81,-7957.901667,3365942.357,-5338.2178,3364429.416
907,Polyline,654351,538,11394.7102,11394.7102,53662.3082,3361852.871,53883.33348,3367246.006,55301.1744,3372440.382
908,Polyline,654352,148,5034.883658,5034.883658,114098.8419,3361165.894,112288.015,3360556.49,110648.5843,3360131.422
909,Polyline,654353,107,1615.472985,1615.472985,136903.2915,3358762.675,137710.5819,3358735.832,138322.3112,3359178.241
910,Polyline,654354,1044,1537.042177,1537.042177,150783.5606,3359697.329,150560.8489,3359010.483,150338.1246,3358323.638
911,Polyline,654355,12038,4645.111985,4645.111985,154392.2736,3359582.316,152558.1099,3358491.809,150338.1246,3358323.638
912,Polyline,654356,108,2230.319554,2230.319554,170050.1786,3359790.98,170016.4415,3358676.33,169586.2582,3357723.527
